noise_ratio,edge_type,predictive_uncertainty
0.1,clean,1.1879045963287354
0.1,clean,1.2529765367507935
0.1,clean,1.1845241785049438
0.1,clean,0.9217005968093872
0.1,clean,1.1897279024124146
0.1,clean,1.310483694076538
0.1,clean,0.9837210774421692
0.1,clean,1.9637720584869385
0.1,clean,1.0505733489990234
0.1,clean,1.1731122732162476
0.1,clean,1.3079767227172852
0.1,clean,1.2124390602111816
0.1,clean,0.9895302057266235
0.1,clean,1.4845826625823975
0.1,clean,1.2417184114456177
0.1,clean,1.0302119255065918
0.1,clean,0.9913612604141235
0.1,clean,1.4465018510818481
0.1,clean,0.9437738656997681
0.1,clean,1.0727843046188354
0.1,clean,1.1053307056427002
0.1,clean,1.905224323272705
0.1,clean,1.237999439239502
0.1,clean,1.123970866203308
0.1,clean,1.1202051639556885
0.1,clean,0.9823092222213745
0.1,clean,1.1269257068634033
0.1,clean,1.112941026687622
0.1,clean,1.3888849020004272
0.1,clean,1.4977521896362305
0.1,clean,1.0745587348937988
0.1,clean,1.0139639377593994
0.1,clean,0.8632315397262573
0.1,clean,1.0529239177703857
0.1,clean,1.3402504920959473
0.1,clean,1.1949074268341064
0.1,clean,1.4575586318969727
0.1,clean,1.0164427757263184
0.1,clean,1.5180655717849731
0.1,clean,1.1375842094421387
0.1,clean,1.0557284355163574
0.1,clean,1.0875794887542725
0.1,clean,2.1401538848876953
0.1,clean,1.1813933849334717
0.1,clean,0.8811473846435547
0.1,clean,1.1087392568588257
0.1,clean,0.9775390028953552
0.1,clean,1.4696757793426514
0.1,clean,1.298255443572998
0.1,clean,0.9065149426460266
0.1,clean,0.9642730355262756
0.1,clean,1.14387845993042
0.1,clean,0.8374408483505249
0.1,clean,0.9460209012031555
0.1,clean,1.4988452196121216
0.1,clean,1.2949635982513428
0.1,clean,0.9996844530105591
0.1,clean,2.149592399597168
0.1,clean,1.211699366569519
0.1,clean,0.9640863537788391
0.1,clean,1.3231079578399658
0.1,clean,1.5604946613311768
0.1,clean,0.9556988477706909
0.1,clean,1.0071885585784912
0.1,clean,1.013880729675293
0.1,clean,0.9760019779205322
0.1,clean,1.0534522533416748
0.1,clean,1.1322649717330933
0.1,clean,1.1892664432525635
0.1,clean,1.0733063220977783
0.1,clean,1.4561192989349365
0.1,clean,0.9854011535644531
0.1,clean,0.9454649686813354
0.1,clean,1.1084918975830078
0.1,clean,0.9236099720001221
0.1,clean,1.2429617643356323
0.1,clean,0.9760103821754456
0.1,clean,1.3217976093292236
0.1,clean,1.102918267250061
0.1,clean,0.9386125206947327
0.1,clean,1.1103096008300781
0.1,clean,0.9093862771987915
0.1,clean,1.0361697673797607
0.1,clean,1.429205060005188
0.1,clean,0.9155391454696655
0.1,clean,1.2117630243301392
0.1,clean,0.9685840606689453
0.1,clean,1.224400520324707
0.1,clean,0.8936563730239868
